event_id,year,event_label,geography,metric,baseline_stratum,full_valid_population_denominator,stratum_population,stratum_population_fraction,additive_population_weighted_contribution,full_population_weighted_contribution,stratum_share_of_project_contribution
D2018_E03_GF_LIJIAO,2018,Guangfo Metro Yangang-Lijiao extension,Foshan,cross_city_opportunity,baseline_uncovered,9678873.784230271,9292022.70249403,0.9600313951436649,0.0,1018.6044834431206,0.0
D2018_E03_GF_LIJIAO,2018,Guangfo Metro Yangang-Lijiao extension,Foshan,total_opportunity,baseline_covered,9678873.784230271,386851.08173624065,0.03996860485633511,1018.6044834431216,1018.6044834431214,1.0000000000000002
D2018_E03_GF_LIJIAO,2018,Guangfo Metro Yangang-Lijiao extension,Foshan,total_opportunity,baseline_uncovered,9678873.784230271,9292022.70249403,0.9600313951436649,0.0,1018.6044834431214,0.0
D2018_E03_GF_LIJIAO,2018,Guangfo Metro Yangang-Lijiao extension,Guangzhou,coverage,baseline_covered,18038895.640635543,4261441.907686986,0.23623629697637344,0.0,0.002844868336887533,0.0
D2018_E03_GF_LIJIAO,2018,Guangfo Metro Yangang-Lijiao extension,Guangzhou,coverage,baseline_uncovered,18038895.640635543,13777453.732948558,0.7637637030236267,0.0028448683368875335,0.002844868336887533,1.0000000000000002
D2018_E03_GF_LIJIAO,2018,Guangfo Metro Yangang-Lijiao extension,Guangzhou,cross_city_opportunity,baseline_covered,18038895.640635543,4261441.907686986,0.23623629697637344,334.913294731897,548.5492368828337,0.6105437255460664
D2018_E03_GF_LIJIAO,2018,Guangfo Metro Yangang-Lijiao extension,Guangzhou,cross_city_opportunity,baseline_uncovered,18038895.640635543,13777453.732948558,0.7637637030236267,213.63594215093678,548.5492368828337,0.3894562744539337
D2018_E03_GF_LIJIAO,2018,Guangfo Metro Yangang-Lijiao extension,Guangzhou,total_opportunity,baseline_covered,18038895.640635543,4261441.907686986,0.23623629697637344,5781.055920717292,9548.291565061476,0.6054544817075944
D2018_E03_GF_LIJIAO,2018,Guangfo Metro Yangang-Lijiao extension,Guangzhou,total_opportunity,baseline_uncovered,18038895.640635543,13777453.732948558,0.7637637030236267,3767.2356443441836,9548.291565061476,0.3945455182924055
D2018_E04_GZ_M14_MAIN,2018,Guangzhou Line 14 main line,D_equal_city,coverage,baseline_covered,38250058.61750648,4952082.071377605,0.10168283221613855,0.0,0.00145610950484911,0.0
D2018_E04_GZ_M14_MAIN,2018,Guangzhou Line 14 main line,D_equal_city,coverage,baseline_uncovered,38250058.61750648,33297976.546128884,0.8983171677838615,0.00145610950484911,0.00145610950484911,1.0
